0,1,2,3
0.0,1.0,1998-08-26,000026
5.0,0.0,1998-01-08,000026
0.0,1.0,1997-07-15,000026
2.0,2.0,1996-06-24,000026
2.0,3.0,1996-01-02,000026
5.0,1.0,1994-07-06,000026
0.0,1.75,2022-06-17,000027
0.0,2.6,2021-06-18,000027
2.0,0.5,2020-06-11,000027
0.0,0.5,2019-06-14,000027
0.0,0.8,2018-06-22,000027
0.0,1.5,2017-06-29,000027
0.0,2.0,2016-06-28,000027
5.0,2.0,2015-06-25,000027
0.0,2.5,2014-05-23,000027
0.0,1.0,2013-05-31,000027
0.0,1.0,2012-06-14,000027
2.0,1.0,2011-06-16,000027
0.0,3.0,2010-07-13,000027
0.0,1.0,2009-07-15,000027
0.0,3.6,2008-07-24,000027
0.0,3.5,2007-07-16,000027
0.0,5.0,2006-07-06,000027
0.0,3.0,2005-07-07,000027
0.0,3.0,2004-07-12,000027
0.0,1.5,2003-09-05,000027
2.0,3.0,2002-08-01,000027
0.0,2.2,2000-08-03,000027
0.0,1.0,1999-06-16,000027
10.0,0.0,1997-11-04,000027
0.0,0.9,1997-07-31,000027
0.5,1.5,1996-08-13,000027
1.0,1.0,1995-08-21,000027
1.0,0.63,1994-06-30,000027
0.0,6.0,2022-06-17,000028
0.0,8.0,2021-06-21,000028
0.0,6.0,2020-06-18,000028
0.0,4.0,2019-06-19,000028
0.0,3.0,2018-06-13,000028
0.0,3.3,2017-06-20,000028
0.0,3.0,2016-05-30,000028
0.0,2.0,2015-05-22,000028
0.0,1.8,2014-05-28,000028
0.0,1.8,2013-06-07,000028
0.0,1.3,2012-06-19,000028
0.0,1.2,2011-06-16,000028
0.0,1.0,2010-06-17,000028
0.0,1.0,2009-06-10,000028
0.0,0.9,2007-07-10,000028
0.0,0.38,2006-07-13,000028
8.0,0.0,2000-09-11,000028
0.0,1.18,1997-07-29,000028
2.0,0.0,1996-11-12,000028
0.5,0.55,1996-07-16,000028
1.0,0.25,1995-09-06,000028
1.0,0.25,1994-08-31,000028
0.0,0.87,2021-05-31,000029
0.0,1.65,2020-05-21,000029
0.0,2.0,2019-05-21,000029
0.0,1.3,2015-11-10,000029
0.0,2.0,1996-08-15,000029
0.0,3.0,2022-06-13,000030
0.0,3.0,2021-06-17,000030
0.0,1.7,2020-06-16,000030
0.0,1.5,2019-06-26,000030
4.0,2.0,2018-07-26,000030
0.0,2.0,2017-06-28,000030
0.0,1.5,2016-06-28,000030
0.0,1.0,2015-06-26,000030
0.0,1.0,2014-06-30,000030
1.0,1.3,1995-12-18,000030
2.0,0.9,1994-06-30,000030
0.0,1.7,2020-07-17,000031
0.0,1.1,2019-05-16,000031
0.0,0.55,2018-07-10,000031
0.0,0.4,2017-06-02,000031
0.0,0.4,2016-07-29,000031
0.0,0.35,2015-06-29,000031
0.0,0.3,2014-07-03,000031
0.0,0.3,2013-06-28,000031
0.0,0.3,2012-06-19,000031
0.0,0.2,2011-07-27,000031
0.0,0.2,2010-05-19,000031
0.0,0.2,2009-07-16,000031
10.0,0.5,2008-07-23,000031
5.0,0.0,2006-05-18,000031
0.0,1.0,2006-02-13,000031
0.0,2.0,2004-08-17,000031
0.0,0.6,2003-07-02,000031
0.0,0.8,1999-08-17,000031
2.5,0.8,1997-07-22,000031
2.5,1.2,1996-07-01,000031
2.0,0.8,1995-08-02,000031
1.0,1.5,1994-06-08,000031
0.0,1.0,2022-06-08,000032
0.0,0.8,2020-06-04,000032
0.0,0.8,2019-06-04,000032
0.0,0.2,2018-07-13,000032
0.0,0.2,2017-05-23,000032
2.0,0.2,2016-06-16,000032
0.0,0.5,2015-05-28,000032
0.0,0.3,2014-07-28,000032
0.0,1.8,2013-08-09,000032
0.0,0.8,2011-06-17,000032
0.0,1.0,2010-06-18,000032
0.0,1.7,2009-06-18,000032
2.0,1.2,2008-06-27,000032
0.0,1.5,2007-05-23,000032
0.0,1.1,2006-06-30,000032
0.0,0.8,2005-07-13,000032
0.0,1.2,2004-08-10,000032
3.0,2.0,2003-06-13,000032
0.0,1.0,2002-06-27,000032
0.0,1.0,2001-06-25,000032
0.0,0.8,2000-07-28,000032
0.0,0.37,1998-08-27,000032
0.0,0.6,1997-08-21,000032
0.0,0.57,1996-08-29,000032
1.0,0.7,1995-08-24,000032
0.0,1.918424,2022-05-05,000034
0.0,1.891577,2021-04-30,000034
0.0,2.1,2020-04-30,000034
0.0,2.53,2019-04-25,000034
0.0,0.38,2018-05-09,000034
5.5321,0.0,2008-07-14,000034
3.0,0.0,1996-10-24,000034
1.0,0.0,1996-07-16,000034
1.0,1.0,1995-12-13,000034
1.5,1.5,1995-01-17,000034
0.0,1.0,2022-06-16,000035
10.0,0.0,2016-05-27,000035
8.0,0.0,2007-01-16,000035
1.0,0.0,1995-10-18,000035
0.0,2.3,2021-07-14,000036
0.0,4.0,2020-07-09,000036
3.0,6.0,2019-06-28,000036
0.0,5.0,2018-06-29,000036
0.0,3.0,2017-07-19,000036
15.0,0.0,2006-03-28,000036
0.0,0.5,2005-07-29,000036
